Semantic Field,Structure,Database ID,Synset,Phrase 1,Phrase 2,Definiton,Jpn ID,Jpn Synset,Phrase 1,Phrase 2,Jpn Definition
Attribute,entity:abstraction:attribute:quality:humaneness:mercifulness:compassion,04836781,"compassion,pity",,,the humane quality of understanding the suffering of others and wanting to do something about it,04829550-n,"情け心,同情,恩情,恕,愛憐,思遣り,哀れみ,哀憫,哀み,惻隠,お情,御情け,思い遣,お情け,惻隠の情,憐愍,思い遣り,思遣,憐情,哀みん,人情,御情,憐れみ,慈悲,情,哀愍,哀びん,同情心,憐み,憐憫,情心,思いやり,情け",,,人の痛みを理解し、何かをしてあげたいという、人道的な性質
Attribute,entity:abstraction:attribute:quality:humanness,04734196,"humanness,humanity,manhood",,,"the quality of being human; ""he feared the speedy decline of all manhood""",04726938-n,"人間性,ヒュマニティ,人間らしさ,ヒューマニチー,ユーマニテー,ヒューマニティー,ヒューマニティ,ユマニテー,ユマニテ",,,人間らしいという性質
Attribute,entity:abstraction:attribute:quality:incomprehensibility:unclearness:ambiguity,04832345,"ambiguity,equivocalness",,,unclearness by virtue of having more than one meaning,04825114-n,"多義性,瞹昧さ,何方つかず,あやふやさ,不明瞭,何方付かず,あいまい性,どっちつかず,曖昧さ,どっち付かず",,,複数の意味を持つために不明瞭であること
Attribute,entity:abstraction:attribute:quality:irregularity:fluctuation,04778150,"fluctuation,wavering",,,"the quality of being unsteady and subject to changes; ""he kept a record of price fluctuations""",04770911-n,"変動すること,揺れること",,,不安定で、変動しやすい性質
Attribute,entity:abstraction:attribute:quality:irregularity:randomness,04778571,"randomness,haphazardness,stochasticity,noise",,,the quality of lacking any predictable order or plan,04771332-n,"でたらめさ,出たら目さ,出鱈目さ",,,予測できる順序や計画性が欠如していること
Attribute,entity:abstraction:attribute:quality:morality:good,04856472,"good,goodness",,,"moral excellence or admirableness; ""there is much good to be found in people""",04849241-n,"徳行,仁徳,美徳,篤行,善,善良さ",,,道徳的に素晴らしく、立派な
Attribute,entity:abstraction:attribute:quality:morality:good:kindness:consideration,04848589,"consideration,considerateness,thoughtfulness",,,"kind and considerate regard for others; ""he showed no consideration for her feelings""",04841358-n,"配慮,気づかい,恩情,気配り,思遣り,深切,厚意,思ん量り,親切,気遣い,気遣,労り,心馳せ,思い遣,配意,厚情,温情,雅量,思い遣り,思遣,心馳,心配り,新切,他愛,懇切さ,慮り,思いやり,考察,懇切",,,他の人に対する優しく思いやりのある配慮
Attribute,entity:abstraction:attribute:quality:morality:good:virtue,04854713,virtue,,,a particular moral excellence,04847482-n,"徳行,徳目,道徳,道心,明徳,聖徳,徳,功徳,美徳,篤行,道徳的美点,徳義,仁,善",,,特定の美徳
Attribute,entity:abstraction:attribute:quality:morality:righteousness:honesty:integrity,04876782,integrity,,,"moral soundness; ""he expects to find in us the common honesty and integrity of men of business""; ""they admired his scrupulous professional integrity""",04869569-n,"直行,廉直,清廉さ,廉潔さ,廉潔,清廉",,,道徳的な健全さ
Attribute,entity:abstraction:attribute:quality:morality:righteousness:honor,04876319,"honor,honour",,,"the quality of being honorable and having a good name; ""a man of honor""",04869106-n,"誉,誉れ,栄光,誉望,栄誉,栄え,名誉,栄",,,名誉となり、良い評判をもっている性質
Attribute,entity:abstraction:attribute:quality:morality:righteousness:justice,04857348,"justice,justness",,,the quality of being just or fair,04850117-n,"ジャスティス,正義,中正,公正さ,公明さ,正道,公明正大さ",,,公正または公平である性質
Attribute,entity:abstraction:attribute:quality:morality:righteousness:justice:right,04857572,"right,rightfulness",,,"anything in accord with principles of justice; ""he feels he is in the right""; ""the rightfulness of his claim""",04850341-n,"正当さ,正しさ",,,正義の原則と一致しているもの
Attribute,entity:abstraction:attribute:quality:nature,04733982,nature,,,"the essential qualities or characteristics by which something is recognized; ""it is the nature of fire to burn""; ""the true nature of jealousy""",04726724-n,"キャラクタ,性状,性質,本質,性格,個性,キャラクター,質,本性",,,それによって何かが認められる必須の特性または特徴
Attribute,entity:abstraction:attribute:quality:power:influence,05201419,influence,,,"a power to affect persons or events especially power based on prestige etc; ""used her parents' influence to get the job""",05194151-n,"権威,権勢,威光,インフルエンス,力,勢威,威力,影響力,偉力",,,特に力が名声その他に基づく人または出来事に影響を及ぼす力
Attribute,entity:abstraction:attribute:quality:power:influence:grip,05202142,"grip,grasp",,,"an intellectual hold or understanding; ""a good grip on French history""; ""they kept a firm grip on the two top priorities""; ""he was in the grip of a powerful emotion""; ""a terrible power had her in its grasp""",05194874-n,"事解,把捉,把握,把持力,把持",,,知的な把握または理解
Attribute,entity:abstraction:attribute:quality:power:legal power,05205695,"legal power,jurisdiction",,,"(law) the right and power to interpret and apply the law; ""courts having jurisdiction in this district""",05198427-n,"裁判管轄,司法権,裁判権",,,法律を解釈し、適用する権利と権力
Attribute,entity:abstraction:attribute:quality:probability,04763427,probability,,,"the quality of being probable; a probable event or the most probable event; ""for a while mutiny seemed a probability""; ""going by past experience there was a high probability that the visitors were lost""",04756172-n,"蓋然性,確からしさ,見込,確率,可能性,公算,蓋然率,有力さ,見こみ,見込み,蓋然,プロバビリティー,プロバビリティ",,,可能性の高いことの質
Attribute,entity:abstraction:attribute:quality:publicity,04727812,publicity,,,"the quality of being open to public view; ""the publicity of the court room""",04720536-n,#N/A,,,公共にさらすことのできる特性
Possession,entity:abstraction:attribute:quality:sameness:equality:balance,13430153,balance,,,equality between the totals of the credit and debit sides of an account,13408980-n,"釣あい,平衡,釣りあい,釣合い,バランス,均衡,釣り合い,釣合",,,クレジットの合計と会計デビット間の等価性
Attribute,entity:abstraction:attribute:quality:sameness:identity,04750264,"identity,identicalness,indistinguishability",,,"exact sameness; ""they shared an identity of interests""",04743024-n,"同一性,一律,一様さ,一緒,斉一,同一",,,まったく同じであること
Attribute,entity:abstraction:attribute:quality:sameness:similarity,04750845,similarity,,,the quality of being similar,04743605-n,"似寄り,類似,似より,相似,似寄,酷似,類似性",,,よく似ている性質
Attribute,entity:abstraction:attribute:quality:sameness:similarity:analogue,04753670,"analogue,analog,parallel",,,something having the property of being analogous to something else,04746430-n,"類似体,類似物,類い,類縁体,比倫,比類",,,ある物が他の物と相似する特性を持っていること
Attribute,entity:abstraction:attribute:quality:simplicity,04773314,"simplicity,simpleness",,,"the quality of being simple or uncompounded; ""the simplicity of a crystal""",04766059-n,"シンプリシティー,単純性,シンプルさ,単純,単純さ",,,単純で複合的でない性質
Attribute,entity:abstraction:attribute:quality:uncertainty,04764142,"uncertainty,uncertainness,precariousness",,,"being unsettled or in doubt or dependent on chance; ""the uncertainty of the outcome""; ""the precariousness of his income""",04756887-n,"不確定度,疑惑,危なさ,懐疑,怪訝,心許無さ,不確実さ,不明,半信半疑,不確実,心もとなさ,不安心,疑しさ,怪しさ,不審,疑り,疑い,不定,不明瞭,心許なさ,不正確,頼りなさ,疑念,不安定さ,疑わしさ",,,未解決の、未決定の、または偶然の
Attribute,entity:abstraction:attribute:quality:uncertainty:doubt,04764777,"doubt,dubiousness,doubtfulness,question",,,"uncertainty about the truth or factuality or existence of something; ""the dubiousness of his claim""; ""there is no question about the validity of the enterprise""",04757522-n,"疑問,不審さ,訝しさ,胡散臭さ,疑わしいこと,疑しさ,怪しさ,疑わしさ,うさん臭さ",,,何かが存在するという真実や事実についての不確実性
Attribute,entity:abstraction:attribute:quality:unoriginality:orthodoxy:conventionality,04808781,"conventionality,convention,conventionalism",,,orthodoxy as a consequence of being conventional,04801532-n,"因習,習慣,旧習,仕来たり,為来たり,仕来り,古格,旧套,コンベンション,お定まり,伝統,為来,風習,仕来,因襲,御定り,為来り,慣習,御定,流俗,御定まり,在来,常套,お定り,慣例主義,しきたり,俗習,恒例,習俗,因習尊重,慣例,慣行",,,慣例的である結果としての正統派的慣行
Attribute,entity:abstraction:attribute:quality:utility:function,05156572,"function,purpose,role,use",,,"what something is used for; ""the function of an auger is to bore holes""; ""ballet is beautiful but what use is it?""",05149325-n,"目当て,使い処,機能,役立つこと,遣い道,目あて,目当,趣意,狙,使処,使い所,用,用法,甲斐,役割,働き,役目,実利,用途,職能,趣旨,効用,使道,本旨,狙い,使所,使い道,遣道,使い方,使いみち,役割り,目的,ファンクション,つかい道",,,何かがそのために使われる
Attribute,entity:abstraction:attribute:quality:utility:practicality:realism,05159116,"realism,pragmatism",,,the attribute of accepting the facts of life and favoring practicality and literal truth,05151869-n,"実用本位,没理想,プラグマティズム,リアリズム,現実主義,実学主義,プラグマチズム,実用主義,レアリスム",,,人生の現実を受け入れ、実際的なことやありのままの真実を好む特性
Attribute,entity:abstraction:attribute:quality:worth,05145473,worth,,,the quality that renders something desirable or valuable or useful,05138208-n,"値打,ユーティリティ,有り難味,有難み,ユーティリティー,ありがた味,ユチリチー,甲斐,真価,有り難み,有難味,価値,値打ち,バリュー",,,何かを望ましいもの、貴重なもの、役に立つものにする特質
